survey_year,awardee_id,vaccine_type_code,vaccine_type,vaccine_patient_type,doses_ordered,doses_wasted,reported_loss_pct,calculated_loss_pct,reported_minus_calculated_pct,included_in_standard_analysis,synthetic_data_notice
2024,SYN-AWD-003,nirsevimab,Nirsevimab,VFC pediatric doses only,6187,236,3.891,3.814,0.077,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,mpox,Mpox,VFC pediatric doses only,245,16,6.552,6.531,0.022,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,rsv_maternal,RSV Maternal,VFC pediatric doses only,0,0,,,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,covid,COVID-19,VFC pediatric doses only,9646,1060,11.073,10.989,0.084,0,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-003,influenza,Influenza,VFC pediatric doses only,18577,1675,8.967,9.017,-0.049,0,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,dtap,DTaP,All publicly funded doses,8522,182,1.963,2.136,-0.173,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,dtap_ipv,DTaP-IPV,All publicly funded doses,2037,63,3.291,3.093,0.198,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,dtap_hepb_ipv,DTaP-HepB-IPV,All publicly funded doses,5405,184,3.351,3.404,-0.053,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,dtap_ipv_hib,DTaP-IPV-Hib,All publicly funded doses,2162,107,5.207,4.949,0.258,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,hepa_pediatric,HepA Pediatric,All publicly funded doses,7449,342,4.581,4.591,-0.011,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,hepa_hepb,HepA-HepB,All publicly funded doses,908,55,6.009,6.057,-0.048,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,hepb_pediatric,HepB Pediatric,All publicly funded doses,9072,236,,2.601,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,hib,Hib,All publicly funded doses,5993,186,2.943,3.104,-0.16,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,hpv,HPV,All publicly funded doses,7828,181,2.394,2.312,0.082,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,mmr,MMR,All publicly funded doses,8267,220,2.768,2.661,0.107,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,pcv,PCV,All publicly funded doses,11374,547,4.633,4.809,-0.176,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,ppv23,PPSV23,All publicly funded doses,1058,48,4.522,4.537,-0.014,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,polio,Polio,All publicly funded doses,6328,172,2.876,2.718,0.158,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,rota,Rotavirus,All publicly funded doses,4796,259,5.075,5.4,-0.325,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,td,Td,All publicly funded doses,910,35,3.944,3.846,0.098,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,tdap,Tdap,All publicly funded doses,9513,269,2.485,2.828,-0.343,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,varicella,Varicella,All publicly funded doses,6839,305,,4.46,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,mmrv,MMRV,All publicly funded doses,1530,76,4.888,4.967,-0.079,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,menb,MenB,All publicly funded doses,4187,179,4.555,4.275,0.28,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,dengue,Dengue,All publicly funded doses,0,0,,,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,dtap_ipv_hib_hepb,DTaP-IPV-Hib-HepB,All publicly funded doses,1489,53,3.149,3.559,-0.411,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,menabcwy,MenABCWY,All publicly funded doses,891,52,5.743,5.836,-0.093,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,menacwy,MenACWY,All publicly funded doses,7668,224,3.158,2.921,0.237,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,nirsevimab,Nirsevimab,All publicly funded doses,3711,196,5.272,5.282,-0.01,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,mpox,Mpox,All publicly funded doses,224,34,15.299,15.179,0.12,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,rsv_maternal,RSV Maternal,All publicly funded doses,2454,105,4.42,4.279,0.141,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,covid,COVID-19,All publicly funded doses,6963,983,14.124,14.117,0.007,0,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-004,influenza,Influenza,All publicly funded doses,13786,2958,21.778,21.457,0.321,0,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,dtap,DTaP,VFC pediatric doses only,15586,453,3.102,2.906,0.195,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,dtap_ipv,DTaP-IPV,VFC pediatric doses only,4650,155,3.414,3.333,0.08,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,dtap_hepb_ipv,DTaP-HepB-IPV,VFC pediatric doses only,6315,171,2.741,2.708,0.034,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,dtap_ipv_hib,DTaP-IPV-Hib,VFC pediatric doses only,2714,73,2.635,2.69,-0.054,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,hepa_pediatric,HepA Pediatric,VFC pediatric doses only,14630,543,3.954,3.712,0.243,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,hepa_hepb,HepA-HepB,VFC pediatric doses only,1728,70,3.963,4.051,-0.088,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,hepb_pediatric,HepB Pediatric,VFC pediatric doses only,13956,254,1.588,1.82,-0.232,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,hib,Hib,VFC pediatric doses only,11264,388,3.64,3.445,0.196,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,hpv,HPV,VFC pediatric doses only,18766,355,1.949,1.892,0.057,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,mmr,MMR,VFC pediatric doses only,13191,468,3.338,3.548,-0.21,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,pcv,PCV,VFC pediatric doses only,18467,564,2.903,3.054,-0.151,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,ppv23,PPSV23,VFC pediatric doses only,2431,104,4.421,4.278,0.143,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,polio,Polio,VFC pediatric doses only,14058,336,2.283,2.39,-0.107,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,rota,Rotavirus,VFC pediatric doses only,10032,505,5.036,5.034,0.002,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,td,Td,VFC pediatric doses only,1991,67,3.401,3.365,0.036,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,tdap,Tdap,VFC pediatric doses only,15004,388,2.673,2.586,0.087,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,varicella,Varicella,VFC pediatric doses only,11768,518,4.551,4.402,0.15,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,mmrv,MMRV,VFC pediatric doses only,3415,138,3.708,4.041,-0.333,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,menb,MenB,VFC pediatric doses only,6681,227,3.298,3.398,-0.1,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,dengue,Dengue,VFC pediatric doses only,0,0,,,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,dtap_ipv_hib_hepb,DTaP-IPV-Hib-HepB,VFC pediatric doses only,2907,84,3.036,2.89,0.146,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,menabcwy,MenABCWY,VFC pediatric doses only,0,0,,,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,menacwy,MenACWY,VFC pediatric doses only,13584,616,,4.535,,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
2024,SYN-AWD-005,nirsevimab,Nirsevimab,VFC pediatric doses only,6947,435,6.079,6.262,-0.182,1,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_OR_AWARDEE_DATA
